,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,01-08-2021,
t22,435.932,366.928,278,240.033,308.749,232.942,183.068,212.39,190.582,216.686,349.335,178.956,293.797,304.971,438.701,697,803.789,589.354,826.525,392.611,549.053,491.089,481.461,336.72,341.591,271.222,463.533,314.844,240.978,250.965,248.663,371.9505806,3533.530516
t23,410.015,289.2,280.398,227.308,343.212,236.558,146.523,180.883,186.603,203.438,348.315,165.664,291.364,281.842,503.789,685.967,791.313,697.021,832.27,384.443,565.792,450.837,449.726,349.008,322.644,247.933,444.252,352.396,266.837,242.59,215.067,367.5228387,3491.466968
t24,432.814,243.005,266.534,255.271,324.851,228.483,124.592,183.391,200.501,166.613,311.236,168.287,253.372,279.289,557.425,671.957,778.686,827.14,827.938,405.503,558.963,421.661,433.898,373.557,326.395,202.707,431.388,388.346,266.593,278.222,246.87,368.8867097,3504.423742
t25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
