x, y
0.185225619,50.1024499
0.2646082,50.08530066
0.423373363,50.05879733
0.687982775,50.01670379
0.899668851,49.99409799
1.243660844,50.04398665
1.428886463,49.99877505
1.64057375,49.9395323
2.09040757,50.00423164
2.302094857,49.94732739
2.619625182,49.92628062
2.778390344,49.96915369
3.122381126,50.00111358
3.201763707,49.94576839
3.5457557,49.99175946
3.678059195,49.916147
4.127894226,50.00423164
4.286659389,49.8452116
4.36604197,49.96057907
4.736494419,49.87483296
5.027563077,49.99409799
5.080485201,50.14376391
5.450937651,50.0096882
5.63616327,49.90367485
6.138919214,50.09621381
6.244763464,49.90523385
6.562293789,49.98942093
6.773979865,49.8701559
7.09151019,50.00657017
7.303198688,49.84443207
7.461963851,49.99877505
7.700111594,49.89665926
8.017641919,50.07750557
8.335172245,49.96759466
8.441014071,50.04320712
8.785006064,50.02917594
9.102536389,49.99643652
9.420066714,49.86391984
9.764058707,49.9855234
9.843441289,49.85378619
10.00220645,49.97461025
10.29327511,49.80857459
10.4255786,49.99721605
10.74310893,50.11959911
10.74310893,50.11881961
11.06063925,50.05100224
11.40463125,49.96837416
11.74862324,50.02449888
12.01323023,50.06581292
12.30430131,49.97305122
12.48952572,50.03775056
12.9658212,49.92783965
13.04520378,50.12973273
13.25689228,49.96603563
13.44211669,50.08530066
13.62734352,49.97694878
14.07717734,50.09621381
14.18302159,49.90913141
14.50055192,49.98006681
14.68577875,49.94265033
15.00330907,50.02449888
15.26791606,49.90133632
15.37376031,50.00423164
15.74421155,49.90835191
16.06174187,50.02449888
16.32635128,49.98240534
16.40573387,49.88730514
16.74972586,49.81559018
16.88202935,49.95122495
17.33186317,50.04086859
17.33186317,49.93329621
17.70231683,49.8483296
17.70231683,49.8483296
18.01984716,50.04320712
18.15215065,49.99331849
18.36383673,50.06347439
18.60198447,50.033853
18.9195148,50.08685969
19.07827996,49.92706015
19.44873362,50.04476615
19.79272319,49.98864143
19.79272319,49.98864143
20.00441169,50.07594654
20.13671519,49.98396437
20.63947234,49.95590201
20.87762009,50.06269489
21.08930616,49.91380847
21.22160966,49.85924278
21.40683649,50.02761694
21.69790514,49.90523385
21.96251455,50.03463253
22.12127972,49.83819601
22.30650655,49.99877505
22.49173096,49.90913141
22.59757521,50.04476615
22.91510553,49.99877505
23.15325327,49.91926503
23.20617419,50.0330735
23.62954876,49.98006681
23.86769651,50.03853006
