x	y
0.23762375	49.86148653
0.554455418	49.90878376
0.765676932	49.91824329
1.003300682	49.96081086
1.267326669	49.98209465
1.504950419	50.03175682
1.768976406	50.02229728
2.006600156	50.05540543
2.270627351	50.01047303
2.508251102	50.04831084
2.745874852	50.00574326
3.009900839	50.01756763
3.247524589	49.94189191
3.511550575	49.89222974
3.749174326	49.98682431
4.013201521	50.03412165
4.250825271	50.00574326
4.514851258	50.03648647
4.752475008	50.03175682
4.990098759	50.05067567
5.254124745	50.00337844
5.51815194	50.01520269
5.755775691	50.03175682
5.993399441	50.04831084
6.257425427	49.9489865
6.521451414	49.97500005
6.759075164	49.9489865
6.996698915	49.99155407
7.26072611	49.97263512
7.49834986	50.01756763
7.762377055	50.07195945
8.026401833	50.07432439
8.264025584	50.04121624
8.501649334	50.06250003
8.765676529	50.01283786
9.00330028	50.00574326
9.267327475	49.96790546
9.504951225	50.00574326
9.768976003	49.96317569
10.00659975	49.9111487
10.27062695	49.83074321
10.5082507	49.93006754
10.74587445	49.9560811
11.00990164	49.98682431
11.24752539	50.00810809
11.51155017	49.9939189
11.74917392	50.00574326
12.06600559	50.01993246
12.25082487	50.04831084
12.51485206	50.01756763
12.77887684	50.04358107
13.09570851	50.07195945
13.25412434	49.99628384
13.49174809	50.05540543
13.75577529	50.03412165
14.04620351	50.10270277
14.25742623	49.98209465
14.52145101	49.94189191
14.75907476	49.99864867
15.02310196	50.08614864
15.26072571	49.98682431
15.55115393	50.01283786
15.76237665	50.01047303
16.02640143	50.03648647
16.26402518	49.99864867
16.50164893	50.03885141
16.76567613	49.99864867
17.02970332	50.03175682
17.26732707	50.05540543
17.50495082	50.02466222
17.74257457	50.00574326
18.00659935	50.05540543
18.2442231	49.98445948
18.5082503	50.05540543
18.74587405	49.98209465
19.00990124	50.00810809
19.24752499	50.0530406
19.51154977	50.02229728
19.74917352	50.00574326
20.01320072	49.9560811
20.25082447	50.03648647
20.51485166	49.97500005
20.72607197	50.03175682
20.99009916	50.06959462
21.22772291	49.99864867
21.51815113	49.98918924
21.72937144	50.01756763
22.01980208	50.06722979
22.23102239	50.00574326
22.52145061	50.01520269
22.75907436	50.01993246
22.99669811	50.04121624
23.23432186	50.01520269
23.55115353	50.0010135
23.76237625	49.97500005
24	50.02702705
