x, y
0.104917627,49.89185804
0.524590538,50.04968685
0.813114313,49.87198328
0.891802834,49.93277659
1.311475744,49.84743213
1.416393372,49.94914404
1.862295389,49.80885176
1.993442123,50.01929017
2.229507685,49.87432151
2.622950288,50.00526095
2.990163785,49.93394572
3.016392891,50.04968685
3.357377281,49.88016698
3.61967195,50.02279748
3.881966619,49.95615865
4.065573967,50.07189978
4.222951009,49.90471813
4.459016571,50.03916493
4.79999976,49.8789979
5.036065322,50.07189978
5.088524736,49.93277659
5.377048511,50.04617955
5.613114073,49.97018788
6.006556676,50.10580376
6.268852546,49.96901879
6.39999928,50.08709809
7.003279539,50.15256784
7.134426273,49.99356994
7.344261527,50.05553233
7.737704131,49.98772441
7.947541787,50.16659707
8.183607349,49.99473903
8.419672911,50.07306886
8.91803194,50.00409186
9.232786023,49.93745303
9.363935158,50.04851771
9.652458934,49.96668057
9.940982709,50.05202502
10.09835975,49.90705635
10.30819741,50.0216284
10.70164001,50.05670147
10.83278674,49.92576197
11.09508261,49.96551149
11.46229491,50.01578287
11.75081868,49.97486427
11.98688425,50.06371608
12.1967219,49.87432151
12.61639241,49.81820459
12.87868828,50.00175364
13.14098415,49.88484343
13.3508194,50.05319416
13.61311527,49.91290188
13.84918084,50.05436324
14.0852464,50.13853861
14.24262344,49.96434235
14.53114721,50.143215
14.79344308,49.96200418
15.00327834,50.12684761
15.31803242,49.98187888
15.31803242,49.98187888
15.52786768,50.06839247
15.9999988,50.15022962
16.3934414,50.00876825
16.78688401,49.94563673
16.99672166,50.05553233
17.1278684,49.85327766
17.44262248,50.08592901
17.44262248,50.08592901
17.59999952,49.96668057
17.86229539,50.03098118
17.88852329,50.26597077
18.09836095,50.01578287
18.43934294,49.95732773
18.43934294,49.95732773
18.78032733,49.88951982
18.96393468,50.06137786
19.0688511,49.8217119
19.4360658,49.9397912
19.54098223,49.89419621
19.72458958,50.01695195
19.96065514,50.06605425
20.14426249,49.9807098
20.32786744,49.91407097
20.66885183,49.84626305
21.03606412,49.99006263
21.19344116,49.9234238
21.42950672,49.97837158
21.66557229,50.0333194
21.90163785,50.05436324
22.00655668,49.81586637
22.19016402,50.00526095
22.4786878,49.85093944
22.74098367,49.7726096
23.00327714,49.93394572
23.18688449,49.73402923
23.37049183,50.00643003
23.55409678,49.88601251
23.6065574,49.84977036
23.84262296,49.94329851
