x, y
0,49.93808219
0.453333717,49.97826483
0.693333705,50.01844747
0.906666214,49.98118719
1.146666201,50.02940637
1.439999927,49.98191781
1.653333656,50.02940637
1.893333644,49.97753425
2.053333636,49.93589041
2.186666149,50.05497716
2.453333615,49.98410959
2.879999854,49.92200911
3.306666092,49.82264836
3.493333563,50.00968034
3.706666071,49.93735158
3.946666059,50.03305935
4.159999788,49.89278538
4.586666026,49.87598171
4.559999768,49.98191781
4.986666006,50.02721459
5.253333473,49.90666664
5.439999723,50.02502281
5.839999703,49.88986301
5.839999703,49.88986301
6.026665953,50.08347031
6.026665953,50.08347031
6.160000907,49.9000913
6.29333342,50.00675798
6.560000887,49.92200911
6.560000887,49.92200911
7.013333384,49.97680363
7.013333384,49.97680363
7.306665888,50.07543377
7.600000834,49.98995432
7.973333335,50.10173514
8.186665843,49.9490411
8.373333314,50.02940637
8.560000785,49.87525113
8.666665819,49.92566209
8.933333286,49.81534247
9.280000749,49.92273973
9.520000736,49.98703195
9.946665754,50.08639267
10.13333322,49.9709589
10.48000069,49.94392692
10.5333332,50.02940637
10.72000068,49.92273973
10.96000066,50.07616438
11.12000066,50.00018264
11.46666568,50.07105021
11.70666566,50.00675798
11.97333313,50.10465753
11.97333313,50.10465753
12.1600006,49.96657534
12.40000059,50.04036527
12.58666562,49.89278538
13.01333308,50.0725114
13.30666558,50.10684932
13.12000055,49.97972603
13.52000053,49.95780822
13.76000052,50.06958904
13.97333303,49.98849315
13.97333303,49.98849315
14.26666553,49.92566209
14.42666553,49.99287671
14.66666551,49.95488582
14.66666551,49.95488582
14.9866655,50.1061187
14.9866655,50.1061187
15.30666548,49.99068493
15.49333295,50.03232877
15.86666545,49.98995432
16.0800004,50.1090411
16.24000039,50.00164384
16.24000039,50.00164384
16.40000039,50.06885843
16.42666542,49.93589041
16.74666541,50.02940637
16.74666541,50.02940637
16.85333288,49.91762555
17.01333287,50.1061187
17.30666538,49.98118719
17.60000033,49.94392692
17.73333284,50.0169863
18.05333282,50.10684932
18.21333281,49.97972603
18.56000028,50.09735158
18.77333279,49.98995432
19.01333277,50.06447486
19.33333276,49.96
19.60000022,50.04840182
19.78666525,49.93735158
19.97333272,50.05132418
20.32000019,49.90520548
20.4533327,50.01917808
20.72000017,49.91470319
20.93333268,50.04328767
21.20000014,49.96
21.38666517,50.06447486
21.60000012,50.00821918
22.05333262,50.02940637
22.21333261,49.81534247
22.42666512,50.03232877
22.72000007,49.91470319
22.96000005,50.0725114
23.22666508,49.96219178
23.49333255,50.01625569
23.81333253,49.96219178
23.92,50.00748856
